path,value
ScienceKeywords[3].Category,EARTH SCIENCE
ScienceKeywords[3].Topic,CRYOSPHERE
ScienceKeywords[3].Term,FROZEN GROUND
ScienceKeywords[3].VariableLevel1,ROCK GLACIERS
ScienceKeywords[4].Category,EARTH SCIENCE
ScienceKeywords[4].Topic,CRYOSPHERE
ScienceKeywords[4].Term,GLACIERS/ICE SHEETS
ScienceKeywords[4].VariableLevel1,GLACIER ELEVATION/ICE SHEET ELEVATION
ScienceKeywords[5].Category,EARTH SCIENCE
ScienceKeywords[5].Topic,CRYOSPHERE
ScienceKeywords[5].Term,GLACIERS/ICE SHEETS
ScienceKeywords[5].VariableLevel1,GLACIER MOTION/ICE SHEET MOTION
ScienceKeywords[6].Category,EARTH SCIENCE
ScienceKeywords[6].Topic,CRYOSPHERE
ScienceKeywords[6].Term,GLACIERS/ICE SHEETS
ScienceKeywords[6].VariableLevel1,GLACIER THICKNESS/ICE SHEET THICKNESS
ScienceKeywords[7].Category,EARTH SCIENCE
ScienceKeywords[7].Topic,CRYOSPHERE
ScienceKeywords[7].Term,GLACIERS/ICE SHEETS
ScienceKeywords[7].VariableLevel1,GLACIER TOPOGRAPHY/ICE SHEET TOPOGRAPHY
ScienceKeywords[8].Category,EARTH SCIENCE
ScienceKeywords[8].Topic,CRYOSPHERE
ScienceKeywords[8].Term,GLACIERS/ICE SHEETS
ScienceKeywords[8].VariableLevel1,GLACIERS
ScienceKeywords[9].Category,EARTH SCIENCE
ScienceKeywords[9].Topic,CRYOSPHERE
ScienceKeywords[9].Term,GLACIERS/ICE SHEETS
ScienceKeywords[9].VariableLevel1,ICE SHEETS
ScienceKeywords[10].Category,EARTH SCIENCE
ScienceKeywords[10].Topic,CRYOSPHERE
ScienceKeywords[10].Term,GLACIERS/ICE SHEETS
ScienceKeywords[10].VariableLevel1,ICEBERGS
ScienceKeywords[11].Category,EARTH SCIENCE
ScienceKeywords[11].Topic,CRYOSPHERE
ScienceKeywords[11].Term,SEA ICE
ScienceKeywords[11].VariableLevel1,ICE DEFORMATION
ScienceKeywords[12].Category,EARTH SCIENCE
ScienceKeywords[12].Topic,CRYOSPHERE
ScienceKeywords[12].Term,SEA ICE
ScienceKeywords[12].VariableLevel1,ICE DEPTH/THICKNESS
ScienceKeywords[13].Category,EARTH SCIENCE
ScienceKeywords[13].Topic,CRYOSPHERE
ScienceKeywords[13].Term,SEA ICE
ScienceKeywords[13].VariableLevel1,ICE EDGES
ScienceKeywords[14].Category,EARTH SCIENCE
ScienceKeywords[14].Topic,CRYOSPHERE
ScienceKeywords[14].Term,SEA ICE
ScienceKeywords[14].VariableLevel1,ICE EXTENT
ScienceKeywords[15].Category,EARTH SCIENCE
ScienceKeywords[15].Topic,CRYOSPHERE
ScienceKeywords[15].Term,SEA ICE
ScienceKeywords[15].VariableLevel1,ICE FLOES
ScienceKeywords[16].Category,EARTH SCIENCE
ScienceKeywords[16].Topic,CRYOSPHERE
ScienceKeywords[16].Term,SEA ICE
ScienceKeywords[16].VariableLevel1,ICE GROWTH/MELT
ScienceKeywords[17].Category,EARTH SCIENCE
